0,10000
7,6600
9,1075
14,6875
16,8180
18,3770
19,8980
22,7515
24,1345
34,7430
35,9255
38,7785
40,6435
43,630
44,6440
60,90
70,7935
71,6680
75,4510
76,3475
77,7550
82,3675
84,8860
90,100
100,6265
105,7495
106,6895
114,9405
118,4005
119,7040
120,2150
134,2195
140,9870
144,1890
154,6350
162,1350
163,7265
174,5920
180,595
186,805
191,7440
201,5595
204,6355
208,3880
211,3495
213,8190
222,8310
227,5455
244,2815
252,8875
255,4730
257,5365
263,3295
264,4960
279,280
284,9430
289,2010
290,6710
296,535
306,6570
315,4225
316,4395
330,9325
331,9755
334,4150
338,7925
339,6990
340,9065
341,5625
342,6305
343,7450
348,6120
355,5730
365,3735
380,2470
381,1385
387,6610
390,2075
395,4380
406,4325
409,4575
410,5765
413,4945
414,8580
418,3590
419,4970
420,3630
448,9225
451,8840
460,7420
461,5560
468,8200
470,5245
471,2280
472,3750
483,70
487,4555
488,7065
492,55
502,2405
504,9035
510,470
522,1985
524,1550
532,1135
536,4930
540,4195
542,295
547,785
551,515
555,2670
556,1905
561,3480
562,9445
563,4285
572,5
580,5280
583,4565
588,170
618,2780
624,2475
625,9785
631,7220
638,9055
639,3320
641,7195
643,7555
646,3145
651,3335
659,3960
661,8925
665,5640
666,1935
670,7500
672,5115
676,8800
678,2165
681,3275
684,1665
687,5925
692,845
709,1065
715,4980
718,9465
720,5065
723,8095
730,160
735,4305
746,6450
752,9400
755,5670
758,8960
761,420
767,3385
771,3850
776,875
778,4500
781,2055
782,8940
788,6720
802,6505
803,9230
807,4390
817,9890
818,6105
826,4105
837,3225
839,5805
840,4585
849,7250
850,6995
855,2200
856,1655
858,2315
861,9435
866,6655
867,8370
869,2865
871,545
875,4465
878,1720
879,855
884,485
886,7365
888,9085
897,4880
903,9585
907,4790
916,270
924,2995
926,2130
928,3380
930,2720
932,2440
934,3280
939,6835
941,1435
942,8675
952,1855
966,4925
967,135
980,1450
981,5345
982,5460
992,345
996,8160
998,7055
1003,8195
1005,2690
1007,3915
1009,9135
1011,1920
1015,3240
1033,9680
1037,1700
1042,780
1047,9160
1062,4560
1063,5800
1064,5580
1066,5860
1071,25
1073,6780
1078,1565
1085,1750
1089,5095
1092,2860
1093,8155
1094,3910
1100,1215
1101,6945
1103,670
1104,6335
1108,7435
